Event Action,Event Label,Total Events,Unique Events,Event Value,Avg. Value
LEVEL8,f3119c62dd3cbc01,1,1,4,4.00
LEVEL8,faa65e826d857707,1,1,1,1.00
LEVEL9,1aee3d633a4ab893,1,1,3,3.00
LEVEL9,3a843e83d9cd7f82,1,1,4,4.00
LEVEL9,47c7ca8745e28469,1,1,5,5.00
LEVEL9,65718f7ffff8f3e5,1,1,4,4.00
LEVEL9,7629e68a79a0113d,1,1,5,5.00
LEVEL9,7f5b249fcb41f77b,1,1,5,5.00
LEVEL9,9221b7b0320a98af,1,1,5,5.00
LEVEL9,98eadc21d43e6fa3,1,1,5,5.00
LEVEL9,d4569452c610e06f,1,1,4,4.00
LEVEL9,dcfd8ce1c43dd0f0,1,1,1,1.00
LEVEL9,eac5443f079d5409,1,1,1,1.00
LEVEL9,f2785d459a8ab75a,1,1,5,5.00
LEVEL9,f3119c62dd3cbc01,1,1,4,4.00
LEVEL9,faa65e826d857707,1,1,1,1.00
